date,ticker,open,high,low,close,volume,rsi,macd,signal_line
08-05-2018,HDFCBANK,936.0751963935378,936.3826217976324,924.41710547804,930.3052978515624,3550282,60.46804365625873,8.485202300953915,7.400569756830256
09-05-2018,HDFCBANK,925.1501444654764,936.666328372592,925.1501444654764,935.6731567382812,2163666,61.62242415705754,8.68355752201603,7.657167309867411
10-05-2018,HDFCBANK,940.4971579009734,945.415790870706,937.3757366211804,942.4362182617188,3585836,61.0245898153426,9.27950959711643,7.981635767317216
11-05-2018,HDFCBANK,942.436187776554,953.928758630934,939.267483708991,951.44580078125,3028534,72.91918339643337,10.359387354412888,8.457186084736351
14-05-2018,HDFCBANK,954.0234338609768,958.8475014475798,951.753335348874,956.1753540039062,2371458,74.7786442782219,11.46467602698624,9.05868407318633
15-05-2018,HDFCBANK,958.6819610241472,976.6301777597216,958.5163842995678,963.76611328125,4913342,83.09306817692573,12.80552201164528,9.80805166087812
16-05-2018,HDFCBANK,960.3372410367172,969.0630418195574,953.99977475114,956.9320068359376,3420802,75.60505367291412,13.164939610693525,10.4794292508412
17-05-2018,HDFCBANK,957.168444876738,966.9110872830172,951.8005378618736,959.012939453125,3307738,79.09122046552876,13.46250711661014,11.07604482399499
18-05-2018,HDFCBANK,957.5704882864596,957.5704882864596,947.5440902596548,951.6350708007812,2608730,69.49161465215165,12.95367724024254,11.4515713072445
21-05-2018,HDFCBANK,953.5031398096656,955.82057878617,939.2911960263236,942.601806640625,2424054,62.61977479232139,11.686798831563353,11.49861681210827
22-05-2018,HDFCBANK,945.2739365718502,952.486338575597,939.0310936681524,941.112060546875,1980186,55.96144824038592,10.442207240856646,11.287334897857946
23-05-2018,HDFCBANK,940.1187987355067,943.0510306022672,928.5789450893672,930.5180053710938,2863146,49.89572804421319,8.5029905419118,10.730466026668717
24-05-2018,HDFCBANK,930.3288569668156,941.2775306586412,925.2447049986808,939.2675170898438,2260372,49.34143918537145,7.584727789055705,10.101318379146116
25-05-2018,HDFCBANK,941.1593200840824,953.4558740148292,941.112037192381,950.0033569335938,2379794,57.77060386660712,7.635275787441287,9.60810986080515
28-05-2018,HDFCBANK,949.5778044665002,970.4819241849018,948.726481440016,965.8470458984376,2551970,66.73342996290768,8.851751250181792,9.456838138680478
29-05-2018,HDFCBANK,963.860612769434,970.8128718195832,959.5095477184173,961.3067016601562,1675622,62.1633206288157,9.341762955540844,9.433823102052552
30-05-2018,HDFCBANK,955.2057503733432,970.9548214716924,953.597785651864,968.7556762695312,2433498,62.408022752463374,10.21343661996832,9.589745805635706
31-05-2018,HDFCBANK,999.5268473672876,1028.0847572920677,990.007544059028,1018.3036499023438,19819596,72.80333944115321,14.73252429220895,10.618301502950356
01-06-2018,HDFCBANK,1007.142125441497,1017.6133573695278,1000.0026491269308,1004.5719604492188,10575678,65.55173320048797,17.009822605627164,11.896605723485717
